Unnamed: 0,Iron & steel,Chemicals,Non-metallic minerals
Overall Demand,46328.5335549085,96865.93318510834,100676.8686432669
Hydrogen,46328.5335549085,,
Methanol,,19060.93000142186,
Ammonia,,77805.00318368648,
Biomass,,,50037.90243420872
Biogas,,,29022.15988383118
Other,,,21616.80632522705
