Unnamed: 0,Iron & steel,Chemicals,Non-metallic minerals
Overall Demand,0.0,0.0,4155.470016561409
Hydrogen,0.0,,
Methanol,,,
Ammonia,,,
Biomass,,,430.3987391895095
Biogas,,,1002.364572257701
Other,,,2722.706705114198
