Unnamed: 0,Iron & steel,Chemicals,Non-metallic minerals
Overall Demand,99275.0630572928,103576.4522698135,142715.8049429919
Hydrogen,99275.0630572928,,
Methanol,,20381.40181582477,
Ammonia,,83195.05045398876,
Biomass,,,43377.51091961122
Biogas,,,58630.79304554881
Other,,,40707.5009778319
