Unnamed: 0,Iron & steel,Chemicals,Non-metallic minerals
Overall Demand,0.0,0.0,834.4980383245047
Hydrogen,0.0,,
Methanol,,,
Ammonia,,,
Biomass,,,436.8412845290836
Biogas,,,106.8007144939174
Other,,,290.8560393015036
