Unnamed: 0,Iron & steel,Chemicals,Non-metallic minerals
Overall Demand,0.0,0.0,1981.417607785804
Hydrogen,0.0,,
Methanol,,,
Ammonia,,,
Biomass,,,434.6639416952042
Biogas,,,416.0443856700241
Other,,,1130.709280420575
